Nom,Fonction,Position,Description,Pouvoir,Image,crop_x,crop_y,width,height
¿´ Caracole,troubadour,Pack,Il assure son divertissement lors des campements ainsi que sa présentation dans les villes et villages. On dit qu'il est un autochrone; du vent sous forme humaine.,Sous Furevent restaurez tous les pouvoirs de toute l'equipe et perdez un point de moral,Caracole.png
∞ Horst Dubka,ailier,Pack,Impressionnants de puissance; il soutient les crocs et couvrent le flanc gauche de la Horde.,Lancez 1d6 supplementaire; vous pouvez retirer 1 a un d6 si vous avez Karst,Horst.png
∞ Karst Dubka,ailiers,Pack,Impressionnants de puissance; il soutient les crocs et couvrent le flanc droit de la Horde.,Lancez 1d6 supplementaire; vous pouvez rajouter 1 a un d6 si vous avez Horst,Karst.png
x Oroshi Melicerte,aéromaîtresse,Pack,Oroshi est celle qui en sait le plus sur le vent et qui conseille Golgoth sur les formations à adopter dans les cas extrêmes (notamment les furvents).,Retournez autant de d6 que les couleur du vent,Oroshi.png
(.) Alme Capys,soigneuse,Pack,Soignant aussi bien les plaies du corps que celles de l’âme; Alme Capys joue le double rôle de psychologue et de médecin.,Restaurez le pouvoir d'un membre de l'equipe,Alme.png
<> Aoi Nan,cueilleuse et sourcière,Pack,Surnommée « petite goutte »; elle est la cueilleuse et la sourcière de la Horde. C’est elle qui est chargée de trouver de l’eau lorsque celle-ci se raréfie.,Gagnez un point de moral lorsque le vent fait un 1,Aoi.png
∫ Larco Scarsa,braconnier du ciel,Pack,Larco est un pêcheur du ciel; c’est-à-dire qu’il pêche dans les nuages à l’aide de cages tractées par des cerfs-volants.,Les Choons vous rendent un point de moral,Larco.png
◊ Léarch,artisan du métal,Pack,Doté d’un visage mat et taillé à la serpe; Léarch est le forgeron de la Horde.,+/-1 pour chaque d6 ayant la valeur du vent,Learch.png
~ Callirhoé Déicoon,feuleuse,Pack,Artisane du feu; Callirhoé s’occupe de l’allumage des feux sous toutes les conditions ainsi que de la cuisson; de la cuisine et de la poterie.,Vous pouvez installer un camp sous Slamino,Callirhoe.png
∂ Boscavo Silamphre,artisan du bois,Pack,Silamphre est l’ébéniste de la Horde. Il fabrique aussi bien des armes que des couverts ou des tabourets. Il a l’ouïe la plus fine et il est convaincu que le vent qui souffle est une musique jouée depuis l’Extrême-Amont.,Echangez un d6 de couleur du vent avec un de non colore,Boscavo.png
≈ Coriolis,croc,Traine,Avant d’intégrer la Horde elle était poseuse de filets dans un petit village. En tant que croc; elle tracte le materiel.,Laissez ce Hordier sur place et placez autant de d6 que de Hordiers manquants,Coriolis.png
√ Sveziest,croc,Traine,Sveziest est le plus jeune des crocs. C’est un battant hargneux qui a été formé par Sov. En tant que croc; il tracte le materiel.,Laissez ce Hordier sur place et devoilez toutes les tuiles de vent autour de vous,Sveziest.png
]] Barbak,croc,Traine,Avec son immense carcasse capable de remorquer d’énormes charges Barbak est considéré par Golgoth comme le meilleur croc de la Horde.,Laissez ce Hordier sur place et ignorez 1d6 du vent,Barbak.png
Di Nebbé,croc,Traine,,Laissez ce Hordier sur place et lancez autant de d6 que de hordiers dans le FER.,Di Nebbe.png
Verval,croc,Traine,,Laissez ce Hordier sur place et rechargez 2 pouvoirs,Verval.png
Φ Golgoth frère,traceur,Fer,Le frère de Golgoth et réputé génial,Deplacez vous dans le sens du vent. Perdez un point de moral,Golgoth frere.png
8e Golgoth,traceur,Fer,Traceur de la 33ème horde et père de Golgoth,Gardez jusqu'a 3d6 pour plus tard qui ne serviront pas pour contrer. Depensez 1 point de moral pour les utiliser tous.,Golgoth pere.png
Alk Serbel,fauconnier,Pack,Compagnon de la mère d'Oroshi,Remplacez un d6 du vent par l'un de vos d6,Alk.png
Matsukaze Melicerte,aéromaîtresse,Pack,1ère aéromaîtresse de l'histoire des Hordes et mère de Oroshi,Ignorez un d6 du vent et perdez un point de moral.,Matsukaze.png
Dekk,croc,Traine,,Laissez ce Hordier sur place et faites +/- 1 pour chaque point de moral manquant,Dekk.png
Silène,assassin,Fer,Formé à Ker Derban spécialement pour l'assassinat,+/- 1 sur 1d6 pour chaque Hordier manquant,Silene.png
ν Lacmila Capys,,Pack,Mère d'Alme noyée dans la flaque de Lapsane,Ignorez les Chrones,Lacmila.png
ε Commorodre Elkin,commodore,Fer,commodore de l'Escadre Frêle,Pour chaque vents de meme force rencontres a la suite; lancez un d6 supplementaire,Elkin.png
υ Contre-amiral Sharav,commandant,Fer,commandant l'Escadre Frêle,Relance le vent,Sharav.png
μ Talweg père,,Fer,Le père de Talweg retrouvé pétrifié dans le désert de Leergeem,Si plusieurs d6 se suivent; rajoutez ou retirez 1 a chacun d'eux.,Talweg pere.png
Ξ Arrigo Della Rocca,prince,Fer,,Rajoutez a 1d6 autant de d6 qui ont la meme valeur (a une valeur donnee).,Arrigo.png
火 Nouchka,danseuse,Pack,Danseuse rencontree par la Horde sur l'Escadre Frêle,Si 1d6 a la meme valeur que la force du vent; mettez le sur la valeur que vous souhaitez.,Nouchka.png
Filam,croc,Traine,,Sacrifiez ce Hordier et faites +/- 1 pour chaque point de moral,Filam.png
τ Bold,croc,Traine,Meilleur ami de Mozer,Sacrifiez le et regagnez 3 points de moral. Sacrifie avec Mozer et regagnez tout,Bold.png
τ Mozer,croc,Traine,Meilleur ami de Bold,Sacrifiez le et regagnez 3 points de moral. Sacrifie avec Bold et regagnez tout,Mozer.png
Siphaé Phorehys,invocatrice,Pack,la mère de Steppe,Le prochain vent sera une Zefinine et perdez 3 point de moral.,Siphae.png
Carasco,croc,Traine,,Laissez ce Hordier sur place et lancez autant de d6 que de hordiers dans le PACK.,Carasco.png
風. Tula,invocatrice-croc,Traine,Invocatrice du vent doux,Sacrifiez ce Hordier et le prochain vent sera un Slamino,Tula.png
風' Topilzin,invocateur-croc,Traine,Invocateur du vent humide,Sacrifiez ce Hordier et le prochain vent sera un Choon,Topilzin.png
Iphaine Desche,protectrice-croc,Traine,Petite amie de Silene; elle donnerait sa vie pour lui,Sacrifiez ce Hordier et faites +/- 1 pour chaque Hordier manquant doublez ce bonus si vous avez Silene,Iphaine.png
Croque,croc,Traine,Chien de trait extremement pratique dans le desert.,Sacrifiez ce Hordier et retrouvez un hordier perdu,Chien.png
Croque,croc,Traine,Chien de trait extremement pratique dans le desert.,Sacrifiez ce Hordier et retrouvez un hordier perdu,Chien.png
Ψ Sélème d'Alticcio,pere du vent,Fer,,Prenez 1d6 au vent et rajoutez le au prochain vent,Seleme.png
le Corroyeur,,Pack,,,le Corroyeur.png
Te Jerkka,,Pack,Frere de Ne,,Te Jerkka.png
Ne Jerkka,,Pack,Frere de Te,,Ne Jerkka.png
Exarque,exarque,Pack,l'Exarque d'Alticcio,,Exarque.png
